SampleID	CNRatio
X12EAM	17.03579886
X13EAM	26.73867728
X14EAM	38.08720113
X17EAM	16.33325201
X18EAM	95.12403764
X19EAM	9.025570145
X20EAM	43.72785259
X22EAM	60.42666667
X24EAM	36.86883777
X25EAM	13.11889719
X26EAM	58.5202864
X27EAM	81.02512563
X29EAM	74.50859951
X30EAM	39.80456026
X31EAM	36.93498452
X32EAM	72.08281054
X33EAM	77.35519126
X34EAM	47.82851817
X35EAM	41.27747253
X36EAM	44.31654676
X37EAM	90.06511628
X38EAM	52.74957699
X39EAM	96.33113829
X4EAM	8.65915493
X40EAM	71.42011834
X41EAM	98.12206573
X42EAM	93.59002169
X43EAM	58.1048581
X44EAM	71.61598092
X45EAM	54.21472937
X46EAM	76.79487179
X47EAM	49.18683062
X48EAM	59.93117011
X49EAM	24.82796088
X5EAM	47.74674115
X51EAM	42.04660588
X52EAM	56.62325999
X7EAM	7.910099241
