StomachContent	SampleID	Sample_Type	Site	Location	Content
Algae	X11EAM	EAM	South_Algae_Flats	Outer_reef	79.17
Algae	X12EAM	EAM	South_Algae_Flats	Outer_reef	54.73
Algae	X13EAM	EAM	South_Algae_Flats	Outer_reef	71.63
Algae	X14EAM	EAM	South_Algae_Flats	Outer_reef	0
Algae	X17EAM	EAM	Lagoon_entrance_east	Lagoon	93.43
Algae	X18EAM	EAM	Lagoon_entrance_east	Lagoon	31.98
Algae	X19EAM	EAM	Lagoon_entrance_east	Lagoon	80.18
Algae	X20EAM	EAM	Lagoon_entrance_east	Lagoon	78.41
Algae	X21EAM	EAM	Lagoon_entrance_east	Lagoon	99.04
Algae	X22EAM	EAM	Lagoon_entrance_east	Lagoon	41.18
Algae	X24EAM	EAM	Lagoon_entrance_west	Lagoon	85.21
Algae	X25EAM	EAM	Lagoon_entrance_west	Lagoon	8.75
Algae	X26EAM	EAM	Lagoon_entrance_west	Lagoon	10.23
Algae	X27EAM	EAM	Lagoon_entrance_west	Lagoon	14.57
Algae	X29EAM	EAM	Lagoon_entrance_west	Lagoon	35.33
Algae	X30EAM	EAM	Lagoon_entrance_west	Lagoon	76.21
Algae	X31EAM	EAM	Lagoon_entrance_west	Lagoon	19.7
Algae	X32EAM	EAM	Lagoon_entrance_west	Lagoon	30.22
Algae	X33EAM	EAM	Keyhole	Outer_reef	86.11
Algae	X34EAM	EAM	Keyhole	Outer_reef	0
Algae	X35EAM	EAM	Keyhole	Outer_reef	34.22
Algae	X36EAM	EAM	Keyhole	Outer_reef	54.48
Algae	X37EAM	EAM	Keyhole	Outer_reef	23.68
Algae	X38EAM	EAM	Keyhole	Outer_reef	52.27
Algae	X39EAM	EAM	Keyhole	Outer_reef	41.5
Algae	X4EAM	EAM	South_Algae_Flats	Outer_reef	79.15
Algae	X40EAM	EAM	Keyhole	Outer_reef	11.19
Algae	X41EAM	EAM	Keyhole	Outer_reef	53.88
Algae	X42EAM	EAM	Keyhole	Outer_reef	33.65
Algae	X43EAM	EAM	Outer_Algae_Flats	Outer_reef	25.83
Algae	X44EAM	EAM	Outer_Algae_Flats	Outer_reef	34.87
Algae	X45EAM	EAM	Outer_Algae_Flats	Outer_reef	68.57
Algae	X46EAM	EAM	Outer_Algae_Flats	Outer_reef	51.41
Algae	X47EAM	EAM	Outer_Algae_Flats	Outer_reef	45.59
Algae	X48EAM	EAM	Outer_Algae_Flats	Outer_reef	48.98
Algae	X49EAM	EAM	Outer_Algae_Flats	Outer_reef	83.33
Algae	X5EAM	EAM	South_Algae_Flats	Outer_reef	53.85
Algae	X51EAM	EAM	Outer_Algae_Flats	Outer_reef	66.67
Algae	X52EAM	EAM	Outer_Algae_Flats	Outer_reef	46.81
Algae	X7EAM	EAM	South_Algae_Flats	Outer_reef	70.07
Algae	X8EAM	EAM	South_Algae_Flats	Outer_reef	72.73
Detritus	X11EAM	EAM	South_Algae_Flats	Outer_reef	20.83
Detritus	X12EAM	EAM	South_Algae_Flats	Outer_reef	45.27
Detritus	X13EAM	EAM	South_Algae_Flats	Outer_reef	28.37
Detritus	X14EAM	EAM	South_Algae_Flats	Outer_reef	0
Detritus	X17EAM	EAM	Lagoon_entrance_east	Lagoon	6.57
Detritus	X18EAM	EAM	Lagoon_entrance_east	Lagoon	68.02
Detritus	X19EAM	EAM	Lagoon_entrance_east	Lagoon	18.92
Detritus	X20EAM	EAM	Lagoon_entrance_east	Lagoon	21.59
Detritus	X21EAM	EAM	Lagoon_entrance_east	Lagoon	0.96
Detritus	X22EAM	EAM	Lagoon_entrance_east	Lagoon	58.82
Detritus	X24EAM	EAM	Lagoon_entrance_west	Lagoon	14.79
Detritus	X25EAM	EAM	Lagoon_entrance_west	Lagoon	47.5
Detritus	X26EAM	EAM	Lagoon_entrance_west	Lagoon	12.5
Detritus	X27EAM	EAM	Lagoon_entrance_west	Lagoon	85.43
Detritus	X29EAM	EAM	Lagoon_entrance_west	Lagoon	64.67
Detritus	X30EAM	EAM	Lagoon_entrance_west	Lagoon	23.79
Detritus	X31EAM	EAM	Lagoon_entrance_west	Lagoon	77.27
Detritus	X32EAM	EAM	Lagoon_entrance_west	Lagoon	69.33
Detritus	X33EAM	EAM	Keyhole	Outer_reef	0
Detritus	X34EAM	EAM	Keyhole	Outer_reef	0
Detritus	X35EAM	EAM	Keyhole	Outer_reef	63.1
Detritus	X36EAM	EAM	Keyhole	Outer_reef	44.83
Detritus	X37EAM	EAM	Keyhole	Outer_reef	75.26
Detritus	X38EAM	EAM	Keyhole	Outer_reef	46.02
Detritus	X39EAM	EAM	Keyhole	Outer_reef	58.5
Detritus	X4EAM	EAM	South_Algae_Flats	Outer_reef	19.54
Detritus	X40EAM	EAM	Keyhole	Outer_reef	88.81
Detritus	X41EAM	EAM	Keyhole	Outer_reef	45.21
Detritus	X42EAM	EAM	Keyhole	Outer_reef	65.88
Detritus	X43EAM	EAM	Outer_Algae_Flats	Outer_reef	72.5
Detritus	X44EAM	EAM	Outer_Algae_Flats	Outer_reef	65.13
Detritus	X45EAM	EAM	Outer_Algae_Flats	Outer_reef	31.43
Detritus	X46EAM	EAM	Outer_Algae_Flats	Outer_reef	48.59
Detritus	X47EAM	EAM	Outer_Algae_Flats	Outer_reef	54.41
Detritus	X48EAM	EAM	Outer_Algae_Flats	Outer_reef	48.3
Detritus	X49EAM	EAM	Outer_Algae_Flats	Outer_reef	16.67
Detritus	X5EAM	EAM	South_Algae_Flats	Outer_reef	46.15
Detritus	X51EAM	EAM	Outer_Algae_Flats	Outer_reef	31.03
Detritus	X52EAM	EAM	Outer_Algae_Flats	Outer_reef	45.21
Detritus	X7EAM	EAM	South_Algae_Flats	Outer_reef	29.93
Detritus	X8EAM	EAM	South_Algae_Flats	Outer_reef	27.27
Animalmatter	X11EAM	EAM	South_Algae_Flats	Outer_reef	0
Animalmatter	X12EAM	EAM	South_Algae_Flats	Outer_reef	0
Animalmatter	X13EAM	EAM	South_Algae_Flats	Outer_reef	0
Animalmatter	X14EAM	EAM	South_Algae_Flats	Outer_reef	0
Animalmatter	X17EAM	EAM	Lagoon_entrance_east	Lagoon	0
Animalmatter	X18EAM	EAM	Lagoon_entrance_east	Lagoon	0
Animalmatter	X19EAM	EAM	Lagoon_entrance_east	Lagoon	0.9
Animalmatter	X20EAM	EAM	Lagoon_entrance_east	Lagoon	0
Animalmatter	X21EAM	EAM	Lagoon_entrance_east	Lagoon	0
Animalmatter	X22EAM	EAM	Lagoon_entrance_east	Lagoon	0
Animalmatter	X24EAM	EAM	Lagoon_entrance_west	Lagoon	0
Animalmatter	X25EAM	EAM	Lagoon_entrance_west	Lagoon	1.25
Animalmatter	X26EAM	EAM	Lagoon_entrance_west	Lagoon	0
Animalmatter	X27EAM	EAM	Lagoon_entrance_west	Lagoon	0
Animalmatter	X29EAM	EAM	Lagoon_entrance_west	Lagoon	0
Animalmatter	X30EAM	EAM	Lagoon_entrance_west	Lagoon	0
Animalmatter	X31EAM	EAM	Lagoon_entrance_west	Lagoon	3.03
Animalmatter	X32EAM	EAM	Lagoon_entrance_west	Lagoon	0.44
Animalmatter	X33EAM	EAM	Keyhole	Outer_reef	13.89
Animalmatter	X34EAM	EAM	Keyhole	Outer_reef	0
Animalmatter	X35EAM	EAM	Keyhole	Outer_reef	2.67
Animalmatter	X36EAM	EAM	Keyhole	Outer_reef	0.69
Animalmatter	X37EAM	EAM	Keyhole	Outer_reef	1.05
Animalmatter	X38EAM	EAM	Keyhole	Outer_reef	1.7
Animalmatter	X39EAM	EAM	Keyhole	Outer_reef	0
Animalmatter	X4EAM	EAM	South_Algae_Flats	Outer_reef	1.3
Animalmatter	X40EAM	EAM	Keyhole	Outer_reef	0
Animalmatter	X41EAM	EAM	Keyhole	Outer_reef	0.46
Animalmatter	X42EAM	EAM	Keyhole	Outer_reef	0.47
Animalmatter	X43EAM	EAM	Outer_Algae_Flats	Outer_reef	0.83
Animalmatter	X44EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Animalmatter	X45EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Animalmatter	X46EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Animalmatter	X47EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Animalmatter	X48EAM	EAM	Outer_Algae_Flats	Outer_reef	2.72
Animalmatter	X49EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Animalmatter	X5EAM	EAM	South_Algae_Flats	Outer_reef	0
Animalmatter	X51EAM	EAM	Outer_Algae_Flats	Outer_reef	2.3
Animalmatter	X52EAM	EAM	Outer_Algae_Flats	Outer_reef	2.66
Animalmatter	X7EAM	EAM	South_Algae_Flats	Outer_reef	0
Animalmatter	X8EAM	EAM	South_Algae_Flats	Outer_reef	0
Other	X11EAM	EAM	South_Algae_Flats	Outer_reef	0
Other	X12EAM	EAM	South_Algae_Flats	Outer_reef	0
Other	X13EAM	EAM	South_Algae_Flats	Outer_reef	0
Other	X14EAM	EAM	South_Algae_Flats	Outer_reef	0
Other	X17EAM	EAM	Lagoon_entrance_east	Lagoon	0
Other	X18EAM	EAM	Lagoon_entrance_east	Lagoon	0
Other	X19EAM	EAM	Lagoon_entrance_east	Lagoon	0
Other	X20EAM	EAM	Lagoon_entrance_east	Lagoon	0
Other	X21EAM	EAM	Lagoon_entrance_east	Lagoon	0
Other	X22EAM	EAM	Lagoon_entrance_east	Lagoon	0
Other	X24EAM	EAM	Lagoon_entrance_west	Lagoon	0
Other	X25EAM	EAM	Lagoon_entrance_west	Lagoon	42.5
Other	X26EAM	EAM	Lagoon_entrance_west	Lagoon	77.27
Other	X27EAM	EAM	Lagoon_entrance_west	Lagoon	0
Other	X29EAM	EAM	Lagoon_entrance_west	Lagoon	0
Other	X30EAM	EAM	Lagoon_entrance_west	Lagoon	0
Other	X31EAM	EAM	Lagoon_entrance_west	Lagoon	0
Other	X32EAM	EAM	Lagoon_entrance_west	Lagoon	0
Other	X33EAM	EAM	Keyhole	Outer_reef	0
Other	X34EAM	EAM	Keyhole	Outer_reef	0
Other	X35EAM	EAM	Keyhole	Outer_reef	0
Other	X36EAM	EAM	Keyhole	Outer_reef	0
Other	X37EAM	EAM	Keyhole	Outer_reef	0
Other	X38EAM	EAM	Keyhole	Outer_reef	0
Other	X39EAM	EAM	Keyhole	Outer_reef	0
Other	X4EAM	EAM	South_Algae_Flats	Outer_reef	0
Other	X40EAM	EAM	Keyhole	Outer_reef	0
Other	X41EAM	EAM	Keyhole	Outer_reef	0
Other	X42EAM	EAM	Keyhole	Outer_reef	0
Other	X43EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Other	X44EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Other	X45EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Other	X46EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Other	X47EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Other	X48EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Other	X49EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Other	X5EAM	EAM	South_Algae_Flats	Outer_reef	0
Other	X51EAM	EAM	Outer_Algae_Flats	Outer_reef	0
Other	X52EAM	EAM	Outer_Algae_Flats	Outer_reef	5.32
Other	X7EAM	EAM	South_Algae_Flats	Outer_reef	0
Other	X8EAM	EAM	South_Algae_Flats	Outer_reef	0
