SampleID	Algae	Detritus	Animalmatter	Other
X1B_GW	40	60	0	0
X2B_GW	4.95	95.05	0	0
X5B_GW	37.78	58.33	0.56	2.78
X10D_GW	69.12	30.59	0.29	0
X1D_GW	NA	NA	NA	NA
X2D_GW	47.42	52.58	0	0
X3D_GW	34.98	65.02	0	0
X4D_GW	NA	NA	NA	NA
X5D_GW	37.86	59.22	1.94	0
X6D_GW	21.95	0	0	78.05
X7D_GW	NA	NA	NA	NA
X8D_GW	63.37	36.63	0	0
X9D_GW	51.79	48.21	0	0
X1G_GW	64.37	35.63	0	0
X2G_GW	42.61	57.39	0	0
X3G_GW	NA	NA	NA	NA
X5G_GW	59.94	40.06	0	0
X6G_GW	38.8	60.11	0	1.09
X7G_GW	52.23	47.77	0	0
X8G_GW	48.19	51.81	0	0
X4G_HG	16.42	83.58	0	0
X10NN_GW	96.39	2.41	0	1.2
X1NN_GW	97.44	2.56	0	0
X2NN_GW	100	0	0	0
X3NN_GW	99.41	0.59	0	0
X4NN_GW	98.65	1.35	0	0
X5NN_GW	NA	NA	NA	NA
X6NN_GW	96.59	3.41	0	0
X7NN_GW	92.45	6.92	0	0
X8NN_GW	92.31	7.69	0	0
X9NN_GW	100	0	0	0
X1NU_GW	3.76	95.49	0	0.75
X2NU_GW	1.3	98.45	0.26	0
X3NU_GW	1.94	97.78	0	0.28
X4NU_GW	4.17	95.83	0	0
X5NU_GW	7.41	92.59	0	0
X10NU_GW	36.32	63.68	0	0
X11NU_GW	6.73	93.27	0	0
X6NU_GW	11.36	77.27	0.45	10.91
X7NU_GW	3.7	96.3	0	0
X8NU_GW	19.21	80.79	0	0
X9NU_GW	34.33	65.67	0	0
X7O_GW	13.59	85.33	0	0
X8O_GW	38.78	60.71	0.51	0
X9O_GW	21.92	78.08	0	0
X10O_GW	29.36	63.4	0	7.23
X11O_GW	20.73	73.98	5.28	0
X1O_GW	74.06	25.94	0	0
X2O_GW	46.03	52.38	0.79	0.79
X3O_GW	40.71	57.86	1.43	0
X4O_GW	16.03	69.47	0	12.21
X5O_GW	53.27	46.23	0	0
X10T_GW	92.36	0	0	7.64
X11T_GW	88.57	0	0	11.43
X1T_GW	99.38	0	0	0.62
X2T_GW	97.83	0	0	2.17
X3T_GW	100	0	0	0
X4T_GW	87.88	0	0	12.12
X6T_GW	100	0	0	0
X7T_GW	77	1	2	20
X8T_GW	83.53	0	0	16.47
X9T_GW	64.08	0.97	5.83	29.13
X5T_HG	89.57	0	0	10.43
