StomachContent	SampleID	Species	Shifting	GutSection	Site	Location	Content
Algae	X1B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	40
Algae	X2B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	4.95
Algae	X5B_GW	A.blochii	Non_shifting	GW	South_Algae_Flats	Outer_reef	37.78
Algae	X10D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	69.12
Algae	X1D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Algae	X2D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	47.42
Algae	X3D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	34.98
Algae	X4D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Algae	X5D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	37.86
Algae	X6D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	21.95
Algae	X7D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Algae	X8D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	63.37
Algae	X9D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	51.79
Algae	X1G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	64.37
Algae	X2G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	42.61
Algae	X3G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA
Algae	X5G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	59.94
Algae	X6G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	38.8
Algae	X7G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	52.23
Algae	X8G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	48.19
Algae	X4G_HG	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	16.42
Algae	X10NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	96.39
Algae	X1NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	97.44
Algae	X2NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	100
Algae	X3NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	99.41
Algae	X4NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	98.65
Algae	X5NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA
Algae	X6NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	96.59
Algae	X7NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	92.45
Algae	X8NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	92.31
Algae	X9NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	100
Algae	X1NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	3.76
Algae	X2NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	1.3
Algae	X3NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	1.94
Algae	X4NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	4.17
Algae	X5NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	7.41
Algae	X10NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	36.32
Algae	X11NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	6.73
Algae	X6NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	11.36
Algae	X7NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	3.7
Algae	X8NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	19.21
Algae	X9NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	34.33
Algae	X7O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	13.59
Algae	X8O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	38.78
Algae	X9O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	21.92
