Shifting	Species	zOTU	Phylum	Class	Order	Family	Genus	Relabun	SE
Non_shifting	Acanthurus blochii	UNI202	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	uncultured	14.24	8.12
Non_shifting	Acanthurus blochii	UNI77	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	12.14	5.29
Non_shifting	Acanthurus blochii	UNI153	Spirochaetes	Spirochaetia	Brevinematales	Brevinemataceae	Brevinema	5.79	3.27
Non_shifting	Acanthurus blochii	UNI3089	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rubripirellula	3.15	1.07
Non_shifting	Acanthurus blochii	UNI5138	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula	3.01	0.95
Non_shifting	Acanthurus blochii	UNI4	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides	2.76	1.53
Non_shifting	Acanthurus blochii	UNI375	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella	2.52	0.89
Non_shifting	Acanthurus blochii	UNI8625	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula	2.37	0.8
Non_shifting	Acanthurus blochii	UNI433	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	1.81	0.64
Non_shifting	Acanthurus blochii	UNI6509	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	1.6	0.51
Non_shifting	Acanthurus blochii	UNI3036	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	1.57	0.58
Non_shifting	Acanthurus blochii	UNI132	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Epulopiscium	1.43	0.69
Non_shifting	Acanthurus blochii	UNI1365	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Phyllobacterium	1.37	0.43
Non_shifting	Acanthurus blochii	UNI19760	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4 lineage	1.31	0.35
Non_shifting	Acanthurus blochii	UNI1063	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	1.13	0.6
Non_shifting	Acanthurus blochii	UNI1081	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	1.12	0.56
Non_shifting	Acanthurus blochii	UNI15245	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	0.86	0.27
Non_shifting	Acanthurus blochii	UNI2991	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	0.85	0.29
Non_shifting	Acanthurus blochii	UNI4730	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	0.84	0.43
Non_shifting	Acanthurus blochii	UNI1334	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	0.83	0.31
Non_shifting	Acanthurus blochii	UNI3390	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	uncultured	0.78	0.34
Non_shifting	Acanthurus blochii	UNI994	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooctadecabacter	0.69	0.24
Non_shifting	Acanthurus blochii	UNI20236	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5) clade	0.65	0.29
Non_shifting	Acanthurus blochii	UNI125	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	0.61	0.13
Non_shifting	Acanthurus blochii	UNI4228	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Parahaliea	0.61	0.32
Non_shifting	Acanthurus blochii	UNI120	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter	0.6	0.15
Non_shifting	Acanthurus blochii	UNI2753	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	0.59	0.22
Non_shifting	Acanthurus blochii	UNI353	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	0.59	0.06
Non_shifting	Acanthurus blochii	UNI8856	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	uncultured bacterium	0.55	0.19
Non_shifting	Acanthurus blochii	UNI3769	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Actibacterium	0.52	0.15
Non_shifting	Acanthurus blochii	UNI3430	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Congregibacter	0.51	0.26
Non_shifting	Acanthurus blochii	UNI3597	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Trichodesmium IMS101	0.49	0.22
Non_shifting	Acanthurus blochii	UNI18070	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	0.46	0.39
Non_shifting	Acanthurus blochii	UNI22663	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Haloferula	0.43	0.16
Non_shifting	Acanthurus blochii	UNI3293	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	0.43	0.09
Non_shifting	Acanthurus blochii	UNI3461	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	0.42	0.13
Non_shifting	Acanthurus blochii	UNI15812	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	0.39	0.14
Non_shifting	Acanthurus blochii	UNI6332	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter	0.39	0.17
Non_shifting	Acanthurus blochii	UNI3802	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	0.38	0.32
Non_shifting	Acanthurus blochii	UNI984	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola	0.36	0.12
Non_shifting	Acanthurus blochii	UNI11997	Cyanobacteria	Oxyphotobacteria	Nostocales	Microcystaceae	Crocosphaera WH 0003 (UCYN-B)	0.36	0.12
