SampleID	Species	Shifting	GutSection	Site	Location	Total_length
X10D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	230
X10NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	190
X10NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	340
X10O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	318
X10T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	155
X11NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	335
X11O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	270
X11T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	254
X1B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	255
X1D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	310
X1G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	260
X1NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	223
X1NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	260
X1O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	325
X1T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	166
X2B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	215
X2D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	275
X2G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	273
X2NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	177
X2NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	240
X2O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	320
X2T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	193
X3D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	305
X3G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	259
X3NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	205
X3NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	253
X3O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	330
X3T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	220
X4D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	310
X4NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	171
X4NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	270
X4O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	358
X4T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	165
X5B_GW	A.blochii	Non_shifting	GW	South_Algae_Flats	Outer_reef	308
X5D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	280
X5G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	252
X5NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	158
X5NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	310
X5O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	350
X6D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	296
X6G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	230
X6NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	210
X6NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	336
X6T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	185
X7D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	260
X7G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	292
X7NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	210
X7NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	298
X7O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	240
X7T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	187
X8D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	275
X8G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	275
X8NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	217
X8NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	355
X8O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	210
X8T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	206
X9D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	255
X9NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	206
X9NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	270
X9O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	225
X9T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	195
