SampleID	Species	Shifting	GutSection	Site	Location	Weight
X10D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	205.2
X10NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	162.8
X10NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	478.4
X10O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	381.2
X10T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	103.2
X11NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	430.6
X11O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	331.1
X11T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	101.2
X1B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	342.7
X1D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	505.7
X1G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	320.7
X1NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	265.4
X1NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	297.8
X1O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	390
X1T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	121.3
X2B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	216.6
X2D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	357.7
X2G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	406.8
X2NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	169.8
X2NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	236.9
X2O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	394.9
X2T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	192.3
X3D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	576.8
X3G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	282.8
X3NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	227.9
X3NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	291.9
X3O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	380.7
X3T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	270.4
X4D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	513.8
X4NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	135.3
X4NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	351.2
X4O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	402.3
X4T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	113.5
X5B_GW	A.blochii	Non_shifting	GW	South_Algae_Flats	Outer_reef	530.6
X5D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	431.7
X5G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	275.9
X5NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	107.5
X5NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	453.7
