SampleID	Replicate	Sample_Type	Species	Shifting	GutSection	Site	Location	FishFeeding	keep	CNAnalyse	Mass	Carbon	Nitrogen	CNRatio	AlgaeContentAnalyse	Algae	Detritus	Animalmatter	Other	FishMetaAnalyse	Std_length 	Fork_length	Total_length	Weight	Otolith_weightL	Otolith_weightR	Log_std_length	Log_weight	FultonsK
X1B_GW	1	Fish	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	y	40	60	0	0	y	205	239	255	342.7	0.024	0.0246	2.3118	2.5349	0.497
X2B_GW	1	Fish	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	y	4.95	95.05	0	0	y	170	205	215	216.6	0.015	0.0144	2.2304	2.3357	0.464
X5B_GW	2	Fish	A.blochii	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	37.78	58.33	0.56	2.78	y	234	276	308	530.6	0.0293	0.0298	2.3692	2.7248	0.583
X1B_HG	3	Fish	A.blochii	Non_shifting	HG	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	n	40	60	0	0	y	205	239	255	342.7	0.024	0.0246	2.3118	2.5349	0.497
X2B_HG	3	Fish	A.blochii	Non_shifting	HG	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	n	4.95	95.05	0	0	y	170	205	215	216.6	0.015	0.0144	2.2304	2.3357	0.464
X5B_HG	2	Fish	A.blochii	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	37.78	58.33	0.56	2.78	y	234	276	308	530.6	0.0293	0.0298	2.3692	2.7248	0.583
X10D_GW	4	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	69.12	30.59	0.29	0	y	175	212	230	205.2	0.0233	NA	2.243	2.3122	0.008
X1D_GW	5	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	NA	NA	NA	NA	y	235	287	310	505.7	0.0418	0.0414	2.3711	2.7039	0.009
X2D_GW	6	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	47.42	52.58	0	0	y	210	250	275	357.7	0.0307	0.0299	2.3222	2.5535	0.009
X3D_GW	7	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	34.98	65.02	0	0	y	245	290	305	576.8	0.0451	0.0468	2.3892	2.761	0.009
X4D_GW	8	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	NA	NA	NA	NA	y	247	280	310	513.8	0.0328	NA	2.3927	2.7108	0.008
X5D_GW	9	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	37.86	59.22	1.94	0	y	225	265	280	431.7	0.0305	0.0317	2.3522	2.6352	0.008
X6D_GW	10	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	21.95	0	0	78.05	y	230	270	296	492.9	NA	0.0306	2.3617	2.6928	0.009
X7D_GW	11	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	NA	NA	NA	NA	y	195	235	260	307.1	NA	NA	2.29	2.4873	0.009
X8D_GW	12	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	63.37	36.63	0	0	y	215	248	275	392.3	0.0301	0.031	2.3324	2.5936	0.009
X9D_GW	13	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	51.79	48.21	0	0	y	205	237	255	322.8	0.0222	0.024	2.3118	2.5089	0.008
X10D_HG	4	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	69.12	30.59	0.29	0	y	175	212	230	205.2	0.0233	NA	2.243	2.3122	0.008
X1D_HG	5	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	y	235	287	310	505.7	0.0418	0.0414	2.3711	2.7039	0.009
X2D_HG	6	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	47.42	52.58	0	0	y	210	250	275	357.7	0.0307	0.0299	2.3222	2.5535	0.009
X3D_HG	7	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	34.98	65.02	0	0	y	245	290	305	576.8	0.0451	0.0468	2.3892	2.761	0.009
X4D_HG	8	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	y	247	280	310	513.8	0.0328	NA	2.3927	2.7108	0.008
X5D_HG	9	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	37.86	59.22	1.94	0	y	225	265	280	431.7	0.0305	0.0317	2.3522	2.6352	0.008
X6D_HG	10	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	21.95	0	0	78.05	y	230	270	296	492.9	NA	0.0306	2.3617	2.6928	0.009
X7D_HG	11	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	y	195	235	260	307.1	NA	NA	2.29	2.4873	0.009
X8D_HG	12	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	63.37	36.63	0	0	y	215	248	275	392.3	0.0301	0.031	2.3324	2.5936	0.009
X9D_HG	13	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	51.79	48.21	0	0	y	205	237	255	322.8	0.0222	0.024	2.3118	2.5089	0.008
X1G_GW	14	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	64.37	35.63	0	0	y	198	231	260	320.7	0.0195	0.0197	2.2967	2.5061	0.506
X2G_GW	15	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	42.61	57.39	0	0	y	215	247	273	406.8	0.0274	0.0274	2.3324	2.6094	0.54
X3G_GW	16	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	NA	NA	NA	NA	y	190	224	259	282.8	0.022	0.0225	2.2788	2.4515	0.486
X5G_GW	17	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	59.94	40.06	0	0	y	195	225	252	275.9	NA	0.0199	2.29	2.4408	0.449
X6G_GW	18	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	38.8	60.11	0	1.09	y	185	218	230	297.7	NA	NA	2.2672	2.4738	0.541
X7G_GW	19	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	52.23	47.77	0	0	y	222	257	292	404.4	0.0275	0.0263	2.3464	2.6068	0.502
X8G_GW	20	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	48.19	51.81	0	0	y	210	240	275	346.4	NA	0.0266	2.3222	2.5396	0.483
X1G_HG	14	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	64.37	35.63	0	0	y	198	231	260	320.7	0.0195	0.0197	2.2967	2.5061	0.506
X2G_HG	15	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	42.61	57.39	0	0	y	215	247	273	406.8	0.0274	0.0274	2.3324	2.6094	0.54
X3G_HG	16	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	y	190	224	259	282.8	0.022	0.0225	2.2788	2.4515	0.486
X4G_HG	21	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	16.42	83.58	0	0	y	187	220	245	290.8	NA	0.0246	2.2718	2.4636	0.517
X5G_HG	17	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	59.94	40.06	0	0	y	195	225	252	275.9	NA	0.0199	2.29	2.4408	0.449
X6G_HG	18	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	38.8	60.11	0	1.09	y	185	218	230	297.7	NA	NA	2.2672	2.4738	0.541
X7G_HG	19	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	52.23	47.77	0	0	y	222	257	292	404.4	0.0275	0.0263	2.3464	2.6068	0.502
