SampleID	Samplename	KeepData	Experiment	Treatment	Day	Replicate
Coral.1.27	Coral_1	n	Coral	none	none	1
Coral.10.27	Coral_10	n	Coral	none	none	2
Coral.11.27	Coral_11	n	Coral	none	none	3
Coral.12.27	Coral_12	n	Coral	none	none	4
Coral.13.27	Coral_13	n	Coral	none	none	5
Coral.14.27	Coral_14	n	Coral	none	none	6
Coral.15.27	Coral_15	n	Coral	none	none	7
Coral.16.27	Coral_16	n	Coral	none	none	8
Coral.17.27	Coral_17	n	Coral	none	none	9
Coral.18.27	Coral_18	n	Coral	none	none	10
Coral.19.27	Coral_19	n	Coral	none	none	11
Coral.2.27	Coral_2	n	Coral	none	none	12
Coral.20.27	Coral_20	n	Coral	none	none	13
Coral.21.27	Coral_21	n	Coral	none	none	14
Coral.22.27	Coral_22	n	Coral	none	none	15
Coral.23.27	Coral_23	n	Coral	none	none	16
Coral.24.27	Coral_24	n	Coral	none	none	17
Coral.25.27	Coral_25	n	Coral	none	none	18
Coral.26.27	Coral_26	n	Coral	none	none	19
Coral.27.27	Coral_27	n	Coral	none	none	20
Coral.28.27	Coral_28	n	Coral	none	none	21
Coral.3.27	Coral_3	n	Coral	none	none	22
Coral.4.27	Coral_4	n	Coral	none	none	23
Coral.5.27	Coral_5	n	Coral	none	none	24
Coral.6.27	Coral_6	n	Coral	none	none	25
Coral.7.27	Coral_7	n	Coral	none	none	26
Coral.8.27	Coral_8	n	Coral	none	none	27
Coral.9.27	Coral_9	n	Coral	none	none	28
Zoox.1.27	Zoox_1	y	Zoox	Control	14	1
Zoox.2.27	Zoox_2	y	Zoox	Control	14	2
Zoox.3.27	Zoox_3	y	Zoox	Control	14	3
Zoox.4.27	Zoox_4	y	Zoox	Control	14	4
Zoox.5.27	Zoox_5	y	Zoox	Control	14	5
Zoox.6.27	Zoox_6	y	Zoox	Control	14	6
Zoox.7.27	Zoox_7	y	Zoox	Single	14	4
Zoox.8.27	Zoox_8	y	Zoox	Single	14	5
Foram.1.27	Foram_1	n	Foram	Foram	none	1
Foram.10.27	Foram_10	n	Foram	Foram	none	2
Foram.11.27	Foram_11	n	Foram	Foram	none	3
Foram.12.27	Foram_12	n	Foram	Foram	none	4
Foram.13.27	Foram_13	n	Foram	Foram	none	5
Foram.14.27	Foram_14	n	Foram	Foram	none	6
Foram.15.27	Foram_15	n	Foram	Foram	none	7
Foram.16.27	Foram_16	n	Foram	Foram	none	8
Foram.17.27	Foram_17	n	Foram	Foram	none	9
Foram.18.27	Foram_18	n	Foram	Foram	none	10
Foram.19.27	Foram_19	n	Foram	Foram	none	11
Foram.2.27	Foram_2	n	Foram	Foram	none	12
Foram.20.27	Foram_20	n	Foram	Foram	none	13
Foram.3.27	Foram_3	n	Foram	Foram	none	14
Foram.4.27	Foram_4	n	Foram	Foram	none	15
Foram.5.27	Foram_5	n	Foram	Foram	none	16
Foram.6.27	Foram_6	n	Foram	Foram	none	17
Foram.7.27	Foram_7	n	Foram	Foram	none	18
Foram.8.27	Foram_8	n	Foram	Foram	none	19
Foram.9.27	Foram_9	n	Foram	Foram	none	20
Zoox.10.27	Zoox_10	y	Zoox	Single	14	1
Zoox.11.27	Zoox_11	y	Zoox	Single	14	2
Zoox.12.27	Zoox_12	y	Zoox	Single	14	3
Zoox.13.27	Zoox_13	y	Zoox	Protective	14	1
Zoox.14.27	Zoox_14	y	Zoox	Protective	14	2
Zoox.15.27	Zoox_15	y	Zoox	Protective	14	3
Zoox.16.27	Zoox_16	y	Zoox	Protective	14	4
Zoox.17.27	Zoox_17	y	Zoox	Protective	14	5
Zoox.18.27	Zoox_18	y	Zoox	Protective	14	6
Zoox.19.27	Zoox_19	y	Zoox	Repetitive	14	1
Zoox.20.27	Zoox_20	y	Zoox	Repetitive	14	2
Zoox.21.27	Zoox_21	y	Zoox	Repetitive	14	3
Zoox.22.27	Zoox_22	y	Zoox	Repetitive	14	4
Zoox.23.27	Zoox_23	y	Zoox	Repetitive	14	5
Zoox.24.27	Zoox_24	y	Zoox	Repetitive	14	6
Zoox.9.27	Zoox_9	y	Zoox	Single	14	6
1.C.1000.L1	1.C.1000.L1	n	Coral	ControlxCO2	1	1
1.C.1000.L2	1.C.1000.L2	n	Coral	ControlxCO2	1	2
1.C.1000.L3	1.C.1000.L3	n	Coral	ControlxCO2	1	3
1.C.1000.R1	1.C.1000.R1	n	Coral	ControlxCO2	1	4
1.C.1000.R2	1.C.1000.R2	n	Coral	ControlxCO2	1	5
1.C.1000.R3	1.C.1000.R3	n	Coral	ControlxCO2	1	6
1.C.380.L1	1.C.380.L1	y	Coral	Aspera	1	1
1.C.380.L2	1.C.380.L2	y	Coral	Aspera	1	2
1.C.380.L3	1.C.380.L3	y	Coral	Aspera	1	3
1.C.380.R1	1.C.380.R1	y	Coral	Aspera	1	4
1.C.380.R2	1.C.380.R2	y	Coral	Aspera	1	5
1.C.380.R3	1.C.380.R3	y	Coral	Aspera	1	6
1.H.1000.L1	1.H.1000.L1	n	Coral	HeatxCO2	1	1
1.H.1000.L2	1.H.1000.L2	n	Coral	HeatxCO2	1	2
1.H.1000.L3	1.H.1000.L3	n	Coral	HeatxCO2	1	3
1.H.1000.R1	1.H.1000.R1	n	Coral	HeatxCO2	1	4
1.H.1000.R2	1.H.1000.R2	n	Coral	HeatxCO2	1	5
1.H.1000.R3	1.H.1000.R3	n	Coral	HeatxCO2	1	6
1.H.380.L1	1.H.380.L1	n	Coral	Heat	1	1
1.H.380.L2	1.H.380.L2	n	Coral	Heat	1	2
1.H.380.L3	1.H.380.L3	n	Coral	Heat	1	3
1.H.380.R1	1.H.380.R1	n	Coral	Heat	1	4
1.H.380.R2	1.H.380.R2	n	Coral	Heat	1	5
1.H.380.R3	1.H.380.R3	n	Coral	Heat	1	6
4.C.1000.L1	4.C.1000.L1	n	Coral	ControlxCO2	14	1
4.C.1000.L2	4.C.1000.L2	n	Coral	ControlxCO2	14	2
4.C.1000.L3	4.C.1000.L3	n	Coral	ControlxCO2	14	3
4.C.1000.R1	4.C.1000.R1	n	Coral	ControlxCO2	14	4
4.C.1000.R2	4.C.1000.R2	n	Coral	ControlxCO2	14	5
4.C.1000.R3	4.C.1000.R3	n	Coral	ControlxCO2	14	6
4.C.380.L1	4.C.380.L1	y	Coral	Aspera	14	1
4.C.380.L2	4.C.380.L2	y	Coral	Aspera	14	2
4.C.380.L3	4.C.380.L3	y	Coral	Aspera	14	3
4.C.380.R1	4.C.380.R1	y	Coral	Aspera	14	4
4.C.380.R2	4.C.380.R2	y	Coral	Aspera	14	5
4.C.380.R3	4.C.380.R3	y	Coral	Aspera	14	6
4.H.1000.L1	4.H.1000.L1	n	Coral	HeatxCO2	14	1
4.H.1000.L2	4.H.1000.L2	n	Coral	HeatxCO2	14	2
4.H.1000.L3	4.H.1000.L3	n	Coral	HeatxCO2	14	3
4.H.1000.R1	4.H.1000.R1	n	Coral	HeatxCO2	14	4
4.H.1000.R2	4.H.1000.R2	n	Coral	HeatxCO2	14	5
4.H.1000.R3	4.H.1000.R3	n	Coral	HeatxCO2	14	6
4.H.380.L1	4.H.380.L1	n	Coral	Heat	14	1
4.H.380.L2	4.H.380.L2	n	Coral	Heat	14	2
4.H.380.L3	4.H.380.L3	n	Coral	Heat	14	3
4.H.380.R1	4.H.380.R1	n	Coral	Heat	14	4
4.H.380.R2	4.H.380.R2	n	Coral	Heat	14	5
4.H.380.R3	4.H.380.R3	n	Coral	Heat	14	6
14.C.1000.L1	14.C.1000.L1	n	Coral	ControlxCO2	4	1
14.C.1000.L2	14.C.1000.L2	n	Coral	ControlxCO2	4	2
14.C.1000.L3	14.C.1000.L3	n	Coral	ControlxCO2	4	3
14.C.1000.R1	14.C.1000.R1	n	Coral	ControlxCO2	4	4
14.C.1000.R2	14.C.1000.R2	n	Coral	ControlxCO2	4	5
14.C.1000.R3	14.C.1000.R3	n	Coral	ControlxCO2	4	6
14.C.380.L1	14.C.380.L1	y	Coral	Aspera	4	1
14.C.380.L2	14.C.380.L2	y	Coral	Aspera	4	2
14.C.380.L3	14.C.380.L3	y	Coral	Aspera	4	3
14.C.380.R1	14.C.380.R1	y	Coral	Aspera	4	4
14.C.380.R2	14.C.380.R2	y	Coral	Aspera	4	5
14.C.380.R3	14.C.380.R3	y	Coral	Aspera	4	6
14.H.1000.L1	14.H.1000.L1	n	Coral	HeatxCO2	4	1
14.H.1000.L2	14.H.1000.L2	n	Coral	HeatxCO2	4	2
14.H.1000.L3	14.H.1000.L3	n	Coral	HeatxCO2	4	3
14.H.1000.R1	14.H.1000.R1	n	Coral	HeatxCO2	4	4
14.H.1000.R2	14.H.1000.R2	n	Coral	HeatxCO2	4	5
14.H.1000.R3	14.H.1000.R3	n	Coral	HeatxCO2	4	6
14.H.380.L1	14.H.380.L1	n	Coral	Heat	4	1
14.H.380.L2	14.H.380.L2	n	Coral	Heat	4	2
14.H.380.L3	14.H.380.L3	n	Coral	Heat	4	3
14.H.380.R1	14.H.380.R1	n	Coral	Heat	4	4
14.H.380.R2	14.H.380.R2	n	Coral	Heat	4	5
14.H.380.R3	14.H.380.R3	n	Coral	Heat	4	6
9.C.1000.L1	9.C.1000.L1	n	Coral	ControlxCO2	9	1
9.C.1000.L2	9.C.1000.L2	n	Coral	ControlxCO2	9	2
9.C.1000.L3	9.C.1000.L3	n	Coral	ControlxCO2	9	3
9.C.1000.R1	9.C.1000.R1	n	Coral	ControlxCO2	9	4
9.C.1000.R2	9.C.1000.R2	n	Coral	ControlxCO2	9	5
9.C.1000.R3	9.C.1000.R3	n	Coral	ControlxCO2	9	6
9.C.380.L1	9.C.380.L1	y	Coral	Aspera	9	1
9.C.380.L2	9.C.380.L2	y	Coral	Aspera	9	2
9.C.380.L3	9.C.380.L3	y	Coral	Aspera	9	3
9.C.380.R1	9.C.380.R1	y	Coral	Aspera	9	4
9.C.380.R2	9.C.380.R2	y	Coral	Aspera	9	5
9.C.380.R3	9.C.380.R3	y	Coral	Aspera	9	6
9.H.1000.L1	9.H.1000.L1	n	Coral	HeatxCO2	9	1
9.H.1000.L2	9.H.1000.L2	n	Coral	HeatxCO2	9	2
9.H.1000.L3	9.H.1000.L3	n	Coral	HeatxCO2	9	3
9.H.1000.R1	9.H.1000.R1	n	Coral	HeatxCO2	9	4
9.H.1000.R2	9.H.1000.R2	n	Coral	HeatxCO2	9	5
9.H.1000.R3	9.H.1000.R3	n	Coral	HeatxCO2	9	6
9.H.380.L1	9.H.380.L1	n	Coral	Heat	9	1
9.H.380.L2	9.H.380.L2	n	Coral	Heat	9	2
9.H.380.L3	9.H.380.L3	n	Coral	Heat	9	3
9.H.380.R1	9.H.380.R1	n	Coral	Heat	9	4
9.H.380.R2	9.H.380.R2	n	Coral	Heat	9	5
9.H.380.R3	9.H.380.R3	n	Coral	Heat	9	6
